step,epoch,loss_total,loss_pred,loss_sigreg,z_std,z_mean_abs,wallclock_s
0,0,1.5866365432739258,1.525718092918396,0.06091849133372307,0.7409133911132812,3.03143065139011e-06,1.054992914199829
25,0,1.3554043769836426,1.0875811576843262,0.2678232789039612,0.33325979113578796,0.0016542132943868637,14.74415898323059
50,0,1.3640217781066895,1.0593173503875732,0.304704487323761,0.27405306696891785,0.0030354196205735207,28.411932945251465
75,0,1.308688759803772,1.0130349397659302,0.2956537902355194,0.29086771607398987,0.004263709299266338,42.868197202682495
100,0,1.3528920412063599,1.0586506128311157,0.29424142837524414,0.2932267487049103,0.0055100638419389725,57.64877223968506
125,0,1.3390159606933594,1.0686347484588623,0.2703811824321747,0.34930744767189026,0.007158730644732714,72.42628312110901
150,0,1.3712037801742554,1.090710163116455,0.2804936468601227,0.3126744329929352,0.008879724889993668,86.2012710571289
175,0,1.412532091140747,1.1115676164627075,0.3009645342826843,0.27773717045783997,0.011272095143795013,100.44430804252625
200,0,1.4015796184539795,1.1273831129074097,0.27419644594192505,0.31486058235168457,0.01419739332050085,114.3859920501709
225,0,1.3271114826202393,1.0430207252502441,0.28409069776535034,0.29686859250068665,0.017178850248456,129.5974133014679
250,0,1.3148720264434814,1.0368543863296509,0.27801769971847534,0.3155158460140228,0.02013261802494526,142.9818470478058
275,0,1.2194948196411133,0.9718760251998901,0.24761873483657837,0.3402971029281616,0.023483870550990105,157.00441908836365
300,0,1.2813081741333008,1.0450003147125244,0.2363077998161316,0.38860058784484863,0.026669727638363838,170.77411317825317
325,0,1.2269675731658936,0.946442723274231,0.2805249094963074,0.3146635890007019,0.029307229444384575,186.85963106155396
350,0,0.7559970617294312,0.5645931959152222,0.1914038360118866,0.6820803284645081,0.03137021139264107,201.54837203025818
375,0,0.9762435555458069,0.7237588167190552,0.2524847388267517,0.4721849858760834,0.0322151817381382,215.65352201461792
400,0,0.8866839408874512,0.6520630717277527,0.23462088406085968,0.5813348293304443,0.032879989594221115,229.67014503479004
425,1,1.0445411205291748,0.7832543253898621,0.26128673553466797,0.5521380305290222,0.03355180099606514,243.56995820999146
450,1,0.9657067060470581,0.7173458337783813,0.24836084246635437,0.580125093460083,0.03429076820611954,257.3751881122589
475,1,0.9607349634170532,0.7129299640655518,0.24780502915382385,0.5839926600456238,0.035013552755117416,270.4990050792694
500,1,0.9046517014503479,0.6743918657302856,0.23025983572006226,0.5153242349624634,0.03562724217772484,283.47515392303467
525,1,0.9619457721710205,0.7304622530937195,0.23148351907730103,0.5611110329627991,0.03629275783896446,296.4690191745758
550,1,1.1029868125915527,0.8640968203544617,0.23888999223709106,0.5932097434997559,0.037106022238731384,309.77509808540344
575,1,0.970602810382843,0.6968022584915161,0.2738005518913269,0.5556103587150574,0.03777057304978371,323.3406672477722
600,1,0.8883150815963745,0.6563814878463745,0.2319336235523224,0.5964022874832153,0.03863266482949257,336.3050220012665
625,1,0.8444263935089111,0.633245050907135,0.2111813724040985,0.6141259074211121,0.03952440246939659,349.6848032474518
650,1,0.9637432098388672,0.7337072491645813,0.2300359606742859,0.5828459858894348,0.04045189544558525,363.1858711242676
675,1,1.0741934776306152,0.8409311771392822,0.23326228559017181,0.5146327614784241,0.041280582547187805,377.50393295288086
700,1,0.9751631617546082,0.729461669921875,0.24570149183273315,0.5404448509216309,0.04214780405163765,391.61036109924316
725,1,0.8188233375549316,0.6024506092071533,0.21637269854545593,0.5460829138755798,0.043054159730672836,405.8742341995239
750,1,0.735011100769043,0.5213146805763245,0.2136964350938797,0.6280463337898254,0.043752700090408325,420.29725217819214
775,1,0.821323037147522,0.5877603888511658,0.2335626780986786,0.5548788905143738,0.04431278631091118,434.6788821220398
800,1,0.8527666330337524,0.6109662652015686,0.24180036783218384,0.5909438729286194,0.04496818780899048,448.9677948951721
825,1,0.6759366989135742,0.4663805365562439,0.20955616235733032,0.6247960925102234,0.045832306146621704,462.94358825683594
850,2,0.8311889171600342,0.5908723473548889,0.24031654000282288,0.6078563928604126,0.04657405614852905,477.6153678894043
875,2,0.7358403205871582,0.5333354473114014,0.20250487327575684,0.6176430583000183,0.04738730564713478,491.79866123199463
900,2,0.6462936401367188,0.42965927720069885,0.2166343629360199,0.6585500240325928,0.048173919320106506,506.24818897247314
925,2,0.6420942544937134,0.4317628741264343,0.21033139526844025,0.6255534291267395,0.048868972808122635,520.4734001159668
