step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
100,0,ok,1.4355123043060303,0.3331322968006134,12.248666763305664,0.49061673879623413,0.0997820720076561,1.736111111111111e-05,0.0,0,240.94445395469666,,,
200,0,ok,1.0536471605300903,0.2953338921070099,8.425703048706055,0.6068940162658691,0.06534572690725327,3.472222222222222e-05,0.0,0,465.50845980644226,,,
288,0,val_epoch,,,,,,,,,747.3371200561523,28.40731272255502,0.2694851838670126,105.41326359735478
300,1,ok,0.8194339275360107,0.2769937813282013,6.02711296081543,0.7070156931877136,0.032644592225551605,4.999997814671033e-05,0.0,0,787.5537006855011,,,
400,1,ok,0.5286189317703247,0.14877301454544067,4.2205095291137695,0.8018425703048706,0.025322701781988144,4.99980963595373e-05,0.0,0,1015.1753256320953,,,
500,1,ok,0.3719249665737152,0.062170036137104034,3.4417214393615723,0.9011435508728027,0.01003125961869955,4.999317965462173e-05,0.0,0,1252.8170139789581,,,
576,1,val_epoch,,,,,,,,,1499.5274052619934,16.727222190484767,0.02046708346503537,817.2743429253348
600,2,ok,0.3507758378982544,0.033881377428770065,3.5210494995117188,0.9404032230377197,0.0149873998016119,4.998522862888087e-05,0.0,0,1561.6751935482025,,,
700,2,ok,0.3182726800441742,0.02810356765985489,3.2241013050079346,0.9667643904685974,0.01877572573721409,4.9974244247616605e-05,0.0,0,1800.8193292617798,,,
800,2,ok,0.30443522334098816,0.026773037388920784,3.0851352214813232,1.01198410987854,0.02375674992799759,4.99602278443982e-05,0.0,0,2027.7594406604767,,,
864,2,val_epoch,,,,,,,,,2250.430598974228,0.13940690780558238,0.007610028338868443,18.318842138019054
900,3,ok,0.2788091003894806,0.023686597123742104,2.8346946239471436,1.0177481174468994,0.028950458392500877,4.9943181120900476e-05,0.0,0,2345.8674075603485,,,
1000,3,ok,0.2724040746688843,0.026561224833130836,2.7315871715545654,0.9918624758720398,0.030409207567572594,4.992310614669717e-05,0.0,0,2572.3823733329773,,,
1100,3,ok,0.2584485411643982,0.019176986068487167,2.6585726737976074,1.021274447441101,0.02663586661219597,4.9900005359009663e-05,0.0,0,2811.9433546066284,,,
