step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
50,0,ok,0.2939523756504059,0.007158337160944939,3.1866002082824707,0.05768325924873352,0.022690748795866966,4.341377118828415e-05,0.0,0,15.31351089477539,,,
100,0,ok,0.2906319797039032,0.0030905408784747124,3.1949048042297363,0.04683757200837135,0.021776653826236725,2.635347271463544e-05,0.0,0,29.87647795677185,,,
150,0,ok,0.29031625390052795,0.002100475365296006,3.202397584915161,0.0399935282766819,0.02116895653307438,8.522415553064433e-06,0.0,0,44.36538600921631,,,
200,0,ok,0.2905600070953369,0.002101619727909565,3.2050929069519043,0.03966512903571129,0.020981281995773315,7.480678400109963e-08,0.0,0,59.34845995903015,,,
205,0,val_epoch,,,,,,,,,67.9835901260376,0.0022259777320957764,0.002909855984105933,0.764978660199817
