step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
100,0,ok,0.9356740713119507,0.2946919798851013,7.122023105621338,0.668231725692749,0.04208427667617798,4.99214134820286e-05,0.0,0,703.838351726532,,,
200,0,ok,0.6628285050392151,0.21013712882995605,5.029903888702393,0.7724935412406921,0.019500667229294777,4.9552628754232465e-05,0.0,0,1409.2734849452972,,,
288,0,val_epoch,,,,,,,,,2182.8194828033447,14.632969743682118,0.029659119267470953,493.37168820555735
300,1,ok,0.4257805347442627,0.07612476497888565,3.885063886642456,0.8806529641151428,0.013970586471259594,4.888622580638186e-05,0.0,0,2266.365443944931,,,
400,1,ok,0.30848246812820435,0.04020766541361809,2.9808311462402344,0.9184327125549316,0.021290970966219902,4.793028253763633e-05,0.0,0,2968.2252988815308,,,
500,1,ok,0.29154008626937866,0.027987735345959663,2.928359270095825,0.9462559819221497,0.021973101422190666,4.669638655179035e-05,0.0,0,3690.893167734146,,,
576,1,val_epoch,,,,,,,,,4418.579080820084,0.56958823060844,0.007144752780497983,79.7211951354236
600,2,ok,0.26379603147506714,0.020796243101358414,2.6999974250793457,0.9637057185173035,0.018227742984890938,4.5199494696467694e-05,0.0,0,4594.489450931549,,,
700,2,ok,0.28423184156417847,0.02124624326825142,2.9220619201660156,0.9953608512878418,0.015824444591999054,4.345775176154215e-05,0.0,0,5330.716331958771,,,
800,2,ok,0.27649059891700745,0.020736081525683403,2.841717004776001,0.9928638339042664,0.01332345325499773,4.149227053445797e-05,0.0,0,6043.837639808655,,,
864,2,val_epoch,,,,,,,,,6664.30218911171,0.13176199850512713,0.004155589986831041,31.707170082389638
900,3,ok,0.27142569422721863,0.020130548626184464,2.792168140411377,0.995577335357666,0.01116478443145752,3.932687587854079e-05,0.0,0,6923.739268064499,,,
1000,3,ok,0.26229971647262573,0.01420659851282835,2.7565901279449463,0.9919978976249695,0.011427945457398891,3.698781593649094e-05,0.0,0,7690.3993101119995,,,
1100,3,ok,0.2552432715892792,0.017427727580070496,2.642394781112671,1.0017107725143433,0.011931694112718105,3.450344395974732e-05,0.0,0,8435.361692905426,,,
