step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
50,0,ok,1.7771365642547607,0.4749847948551178,14.468352317810059,0.6263485550880432,0.06578812748193741,4.9992449032103396e-05,0.0,0,373.89693903923035,,,
100,0,ok,1.3197884559631348,0.5949175357818604,8.054120063781738,0.7477770447731018,0.018345339223742485,4.9919163047460774e-05,0.0,0,753.3568108081818,,,
150,0,ok,1.2266987562179565,0.6283466219902039,6.648356914520264,0.7791810035705566,0.006235465873032808,4.9768139729361404e-05,0.0,0,1118.7725539207458,,,
200,0,ok,1.1741431951522827,0.6636831760406494,5.671777725219727,0.8060131669044495,0.004977301228791475,4.953985020719342e-05,0.0,0,1476.5416679382324,,,
250,0,ok,1.1225420236587524,0.6676249504089355,5.054634094238281,0.8226692080497742,0.0038302403409034014,4.923500664848326e-05,0.0,0,1831.3067529201508,,,
284,0,val_epoch,,,,,,,,,2234.5679149627686,82.30132321581428,0.8724704345067342,94.33136065217467
300,1,ok,1.0009403228759766,0.5701813101768494,4.786210536956787,0.8320710062980652,0.004565721843391657,4.8854560037231925e-05,0.0,0,2351.8932049274445,,,
350,1,ok,1.001579761505127,0.5437497496604919,5.086999893188477,0.8407096266746521,0.006001232657581568,4.839969720724376e-05,0.0,0,2696.735166788101,,,
400,1,ok,0.8882138729095459,0.4730890989303589,4.612497329711914,0.858753502368927,0.0055092195980250835,4.787183713970305e-05,0.0,0,3049.4903190135956,,,
450,1,ok,0.8913024067878723,0.4716911315917969,4.662347316741943,0.854921817779541,0.0054106866009533405,4.7272626536547996e-05,0.0,0,3395.290121793747,,,
500,1,ok,0.8587678074836731,0.44684335589408875,4.576938152313232,0.8686106204986572,0.004917067941278219,4.66039346834516e-05,0.0,0,3736.4663710594177,,,
550,1,ok,0.7885022163391113,0.3754274547100067,4.589719772338867,0.8703696131706238,0.006547654513269663,4.586784761843471e-05,0.0,0,4081.424309015274,,,
568,1,val_epoch,,,,,,,,,4360.32009100914,102.05947735445,0.6148292246865638,165.99646415064169
600,2,ok,0.7617462873458862,0.3281921148300171,4.8172688484191895,0.9006920456886292,0.010328858159482479,4.5066661624302544e-05,0.0,0,4580.4273998737335,,,
650,2,ok,0.7172746658325195,0.2961044907569885,4.679668426513672,0.9130068421363831,0.012828905135393143,4.42028760652058e-05,0.0,0,4916.472802877426,,,
700,2,ok,0.6526899337768555,0.24597056210041046,4.51910400390625,0.9084000587463379,0.018187308683991432,4.327918558967321e-05,0.0,0,5297.423907995224,,,
750,2,ok,0.6155956983566284,0.1894703209400177,4.7347259521484375,0.9567475914955139,0.01881168968975544,4.229847172443866e-05,0.0,0,5642.987607955933,,,
800,2,ok,0.5549402236938477,0.12586721777915955,4.767477989196777,0.9729464054107666,0.022721795365214348,4.1263793885286775e-05,0.0,0,5997.273162841797,,,
850,2,ok,0.5613352656364441,0.12250326573848724,4.875911235809326,0.9707806706428528,0.024423465132713318,4.0178379832959336e-05,0.0,0,6377.966866970062,,,
852,2,val_epoch,,,,,,,,,6550.336580038071,33.31805016600055,0.13405241795160153,248.5449399206641
900,3,ok,0.47339749336242676,0.09862779080867767,4.164107322692871,0.9799051284790039,0.024783626198768616,3.9045615603896e-05,0.0,0,6874.588553905487,,,
950,3,ok,0.45614948868751526,0.09896986931562424,3.9686622619628906,0.975402295589447,0.02628476172685623,3.7869034947221284e-05,0.0,0,7225.933845996857,,,
1000,3,ok,0.4353935122489929,0.07669380307197571,3.9855523109436035,0.9955847859382629,0.023737063631415367,3.665230830092993e-05,0.0,0,7567.5513598918915,,,
1050,3,ok,0.4076179265975952,0.07264722883701324,3.721896171569824,0.982175350189209,0.0217102263122797,3.5399231341660365e-05,0.0,0,7912.343721866608,,,
1100,3,ok,0.3641771674156189,0.06008356809616089,3.378817558288574,1.0072251558303833,0.01898116059601307,3.411371314377614e-05,0.0,0,8248.76704287529,,,
1136,3,val_epoch,,,,,,,,,8648.813967943192,11.492194112141927,0.05451681766774,210.80089784738783
1150,4,ok,0.35973870754241943,0.05789254605770111,3.3538458347320557,1.0081920623779297,0.016355305910110474,3.2799763984693985e-05,0.0,0,8740.5628490448,,,
1200,4,ok,0.3639671206474304,0.05768579989671707,3.403125762939453,1.0254660844802856,0.018093831837177277,3.146148283450093e-05,0.0,0,9079.421009778976,,,
1250,4,ok,0.35555368661880493,0.04526853561401367,3.447612762451172,1.0120600461959839,0.01632155291736126,3.0103044568887344e-05,0.0,0,9414.596660852432,,,
1300,4,ok,0.33594825863838196,0.057520534843206406,3.0936412811279297,1.0125967264175415,0.01611964963376522,2.8728686945286472e-05,0.0,0,9748.962127923965,,,
