step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
100,0,ok,0.9283635020256042,0.29376083612442017,7.051140308380127,0.6593415141105652,0.04100533947348595,4.99214134820286e-05,0.0,0,1215.0246527194977,,,
200,0,ok,0.6273158192634583,0.18601395189762115,4.903353691101074,0.8088104128837585,0.017885729670524597,4.9552628754232465e-05,0.0,0,2431.6555976867676,,,
288,0,val_epoch,,,,,,,,,3775.540249824524,56.902300586235235,0.05925168861703175,960.3490113846108
300,1,ok,0.4386749267578125,0.08364728093147278,3.944751501083374,0.8863930702209473,0.012310829944908619,4.888622580638186e-05,0.0,0,3919.2870857715607,,,
400,1,ok,0.3579190671443939,0.036994270980358124,3.565830945968628,0.9258853793144226,0.016051482409238815,4.793028253763633e-05,0.0,0,5104.2317237854,,,
500,1,ok,0.34355002641677856,0.0339876227080822,3.439582347869873,0.9748041033744812,0.014392994344234467,4.669638655179035e-05,0.0,0,6300.1378519535065,,,
576,1,val_epoch,,,,,,,,,7455.43953371048,0.15663377587388203,0.007628058706432944,20.53389753565853
600,2,ok,0.2928193509578705,0.032035596668720245,2.897597074508667,1.007858395576477,0.018666723743081093,4.5199494696467694e-05,0.0,0,7744.939659833908,,,
700,2,ok,0.29068687558174133,0.023754404857754707,2.965916156768799,1.011704921722412,0.02224157564342022,4.345775176154215e-05,0.0,0,8968.669579744339,,,
800,2,ok,0.281137079000473,0.019550148397684097,2.9065213203430176,1.0556825399398804,0.019265539944171906,4.149227053445797e-05,0.0,0,10220.68941783905,,,
864,2,val_epoch,,,,,,,,,11377.29560494423,0.055058777959245006,0.007087529903680949,7.7684015034137515
900,3,ok,0.3026082515716553,0.019446909427642822,3.1462371349334717,1.031471848487854,0.022631531581282616,3.932687587854079e-05,0.0,0,11853.318598747253,,,
1000,3,ok,0.30115047097206116,0.019172662869095802,3.133086681365967,1.0516782999038696,0.019535204395651817,3.698781593649094e-05,0.0,0,13086.56273984909,,,
1100,3,ok,0.27412402629852295,0.018138954415917397,2.844278573989868,1.0466793775558472,0.020813466981053352,3.450344395974732e-05,0.0,0,14349.809043884277,,,
1152,3,val_epoch,,,,,,,,,15272.34774684906,0.02559605802341205,0.006296865573357336,4.064888749048657
1200,4,ok,0.2745789587497711,0.01964287832379341,2.83262300491333,1.029665231704712,0.02267410419881344,3.1903874620472796e-05,0.0,0,15844.950285673141,,,
