step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s
25,0,ok,1.4790534973144531,0.5920060276985168,9.856082916259766,0.7307043075561523,0.020993662998080254,4.9389101271177355e-05,0.0,0,76.92695903778076
50,0,ok,1.2830657958984375,0.6662180423736572,6.8538641929626465,0.7947378158569336,0.008703310042619705,4.7252261328977115e-05,0.0,0,142.16603803634644
75,0,ok,1.2140613794326782,0.6706132888793945,6.038311958312988,0.8054885864257812,0.007584878709167242,4.371276870427753e-05,0.0,0,207.32183504104614
100,0,ok,1.1887037754058838,0.6541279554367065,5.939730167388916,0.8061866760253906,0.007440855260938406,3.8993732354470556e-05,0.0,0,279.446711063385
125,1,ok,1.0935043096542358,0.6222440004348755,5.236225128173828,0.8325011730194092,0.00811419915407896,3.339261278916512e-05,0.0,0,357.4676742553711
150,1,ok,0.9956611394882202,0.5271693468093872,5.2054643630981445,0.8398478627204895,0.007389435078948736,2.726247189574095e-05,0.0,0,430.99388003349304
175,1,ok,0.8905516862869263,0.449334979057312,4.902408123016357,0.853615939617157,0.006842324044555426,2.098971797855599e-05,0.0,0,508.29811096191406
200,1,ok,0.8204641938209534,0.3897528648376465,4.785681247711182,0.8684681057929993,0.007161222863942385,1.4969748834648556e-05,0.0,0,592.6216380596161
225,2,ok,0.8593494296073914,0.37449726462364197,5.387246131896973,0.8720844388008118,0.007359458599239588,9.582028184286423e-06,0.0,0,667.7438180446625
250,2,ok,0.8129795789718628,0.37136828899383545,4.906792163848877,0.8733120560646057,0.0062790061347186565,5.166166492719124e-06,0.0,0,746.0110540390015
275,2,ok,0.8681195974349976,0.3669016361236572,5.569087982177734,0.8738512396812439,0.006370281334966421,2.0005139085293945e-06,0.0,0,818.0553462505341
300,2,ok,0.8389933109283447,0.3599660396575928,5.322525501251221,0.8727316856384277,0.006020249333232641,2.846146948116468e-07,0.0,0,895.1617751121521
