step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
5,0,ok,0.4048772156238556,0.1155887171626091,3.2143163681030273,0.026957092806696892,0.025152379646897316,4.4728512734909844e-05,0.0,0,2.13895583152771,,,
10,0,ok,0.380531370639801,0.09069465100765228,3.2204079627990723,0.014383591711521149,0.02523578144609928,2.7064483636808313e-05,0.0,0,4.120816707611084,,,
15,0,ok,0.36911022663116455,0.07919961959123611,3.221228837966919,0.008989890106022358,0.025181762874126434,8.067960709356477e-06,0.0,0,6.076372861862183,,,
20,0,ok,0.3666313886642456,0.0767684355378151,3.2206993103027344,0.0110597163438797,0.025159960612654686,0.0,0.0,0,8.007002830505371,,,
20,0,val_epoch,,,,,,,,,8.958832025527954,0.051342713033280724,1.9075328720380017e-08,2691576.841788647
