step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
20,0,ok,0.878545343875885,0.321621835231781,6.1880388259887695,0.4727270305156708,0.08252540975809097,3.7092972177631e-05,0.0,0,11.24217677116394,,,
40,0,ok,0.816322922706604,0.3380109369754791,5.314577102661133,0.5109363198280334,0.060851603746414185,1.0533217595504858e-05,0.0,0,22.56588387489319,,,
57,0,val_epoch,,,,,,,,,34.316770792007446,0.13757545395595272,0.06684808603874066,2.0580313081248613
