step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
100,0,ok,0.9408432245254517,0.28922203183174133,7.240234851837158,0.6468952298164368,0.03898676112294197,4.99214134820286e-05,0.0,0,888.3435161113739,,,
200,0,ok,0.5237199664115906,0.12400367856025696,4.441291809082031,0.80256587266922,0.01557424571365118,4.9552628754232465e-05,0.0,0,1793.0615451335907,,,
288,0,val_epoch,,,,,,,,,2851.3278632164,0.7266407387431075,0.016394555572329498,44.322076041483044
300,1,ok,0.35103344917297363,0.052407607436180115,3.3180649280548096,0.9019845128059387,0.016016444191336632,4.888622580638186e-05,0.0,0,2963.6563291549683,,,
400,1,ok,0.33676600456237793,0.041906729340553284,3.276214361190796,0.9454486966133118,0.022035211324691772,4.793028253763633e-05,0.0,0,3954.0524201393127,,,
500,1,ok,0.28550004959106445,0.027652790769934654,2.864969253540039,0.9715909957885742,0.031048377975821495,4.669638655179035e-05,0.0,0,4938.320854187012,,,
576,1,val_epoch,,,,,,,,,5863.173925876617,0.0872241732986962,0.005989279720886815,14.563382804532157
600,2,ok,0.2772071361541748,0.02491595409810543,2.8032352924346924,1.0026298761367798,0.028800806030631065,4.5199494696467694e-05,0.0,0,6082.722973108292,,,
700,2,ok,0.25049084424972534,0.021774718537926674,2.541290283203125,0.9965684413909912,0.025222478434443474,4.345775176154215e-05,0.0,0,6986.673854112625,,,
800,2,ok,0.2557605803012848,0.019488893449306488,2.6252408027648926,1.0183249711990356,0.02376408316195011,4.149227053445797e-05,0.0,0,7966.649985074997,,,
864,2,val_epoch,,,,,,,,,8770.974285125732,0.016115642324453446,0.0030890262759540503,5.2170622341100374
900,3,ok,0.25803911685943604,0.018526796251535416,2.661247730255127,1.0065923929214478,0.0243189986795187,3.932687587854079e-05,0.0,0,9104.83308506012,,,
1000,3,ok,0.2528151273727417,0.02049081213772297,2.58138108253479,1.001619577407837,0.025443634018301964,3.698781593649094e-05,0.0,0,10024.071187973022,,,
1100,3,ok,0.24641820788383484,0.018193624913692474,2.5358285903930664,1.0149551630020142,0.0247791837900877,3.450344395974732e-05,0.0,0,10972.606554985046,,,
1152,3,val_epoch,,,,,,,,,11703.169387102127,0.037298052877914614,0.003420033557170139,10.905756406898062
1200,4,ok,0.2450283318758011,0.014432334341108799,2.5621776580810547,1.017843246459961,0.02554386854171753,3.1903874620472796e-05,0.0,0,12148.391980171204,,,
1300,4,ok,0.2397323101758957,0.014581216499209404,2.501678705215454,1.0259346961975098,0.02558540366590023,2.922061897222535e-05,0.0,0,13045.3501162529,,,
1400,4,ok,0.2576203942298889,0.017131758853793144,2.672095775604248,1.0249965190887451,0.023558152839541435,2.6486202484191032e-05,0.0,0,13941.134363889694,,,
1440,4,val_epoch,,,,,,,,,14516.931826114655,0.029277050829515226,0.002719982177950442,10.76369215462141
1500,5,ok,0.23551981151103973,0.012346569448709488,2.4797027111053467,1.0243546962738037,0.026445722207427025,2.3733770779032184e-05,0.0,0,21182.627699136734,,,
1600,5,ok,0.25145867466926575,0.014134579338133335,2.636934280395508,1.0145455598831177,0.023983456194400787,2.0996687853456072e-05,0.0,0,22121.660380125046,,,
1700,5,ok,0.23932431638240814,0.013113030232489109,2.513458490371704,1.0236722230911255,0.024581559002399445,1.830813165173112e-05,0.0,0,23082.297804117203,,,
1728,5,val_epoch,,,,,,,,,23575.080109119415,0.012336459072624765,0.0017323797163780689,7.12110569986176
1800,6,ok,0.22733287513256073,0.012570083141326904,2.3862531185150146,1.018576741218567,0.025843610987067223,1.5700691894464586e-05,0.0,0,24281.647411108017,,,
1900,6,ok,0.22039538621902466,0.015323364175856113,2.2785778045654297,1.016154408454895,0.025162922218441963,1.320597503761784e-05,0.0,0,25272.990534067154,,,
2000,6,ok,0.21748048067092896,0.015799999237060547,2.240894079208374,1.0080437660217285,0.024831190705299377,1.0854221150305557e-05,0.0,0,26245.317058086395,,,
2016,6,val_epoch,,,,,,,,,26617.046894073486,0.01364129621081236,0.0019248498987304275,7.086940243917068
2100,7,ok,0.2178451418876648,0.01469007134437561,2.2572784423828125,1.0262075662612915,0.023854589089751244,8.673937355449436e-06,0.0,0,27426.20430803299,,,
2200,7,ok,0.23502112925052643,0.015173842199146748,2.4427475929260254,1.0130162239074707,0.021410653367638588,6.6915522765885e-06,0.0,0,28408.431319236755,,,
2300,7,ok,0.22282475233078003,0.013803490437567234,2.322458267211914,1.025373935699463,0.020001983270049095,4.931095679518441e-06,0.0,0,29338.818060159683,,,
2304,7,val_epoch,,,,,,,,,29595.229907035828,0.011617614277979223,0.0018163716431888865,6.396055741975209
2400,8,ok,0.22311480343341827,0.014096132479608059,2.322429656982422,1.0217838287353516,0.021638810634613037,3.413907192030155e-06,0.0,0,30508.504110097885,,,
2500,8,ok,0.2183523327112198,0.016393423080444336,2.243987798690796,1.0330696105957031,0.023302460089325905,2.158377632542857e-06,0.0,0,31436.75821208954,,,
2592,8,val_epoch,,,,,,,,,32551.7432179451,0.012092518337616107,0.0018917026486327281,6.392399115345245
2600,9,ok,0.22944603860378265,0.013709516264498234,2.3970723152160645,1.001552700996399,0.0242211502045393,1.1797260831540535e-06,0.0,0,32631.648893117905,,,
2700,9,ok,0.21496696770191193,0.014227711595594883,2.230436086654663,1.021877408027649,0.021309785544872284,4.898154093474355e-07,0.0,0,33510.203758239746,,,
2800,9,ok,0.23076502978801727,0.01373178418725729,2.41148042678833,1.0139859914779663,0.021695172414183617,9.700846256308626e-08,0.0,0,34408.446157217026,,,
2880,9,val_epoch,,,,,,,,,35408.89665913582,0.01214479106955412,0.001886266975368305,6.438532417810462
