resolution,epoch,effective_rank,ksg_mi_nats,linear_probe_r2,mlp_probe_r2,twonn_dim,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
64,4,8.801137843934267,3.1964208351765455,0.6735207796720717,0.8648488437798688,0.14285021466260667,165.39903720762672,0.046075903707888,3589.707936196395
64,9,11.287018795078842,3.3689723492515267,0.7525852371681422,0.8765171957760001,0.14923595050492797,5.725224322342291,0.0358223675845599,159.82261107749773
64,19,13.670829517018834,3.443614611717334,0.7905465949712968,0.8879069793083678,0.1504291476736051,1.7034089947909845,0.0318167214895167,53.53816845498179
64,39,15.961635833993268,3.6738327017748924,0.819259049506119,0.887285533191123,0.14557842876692006,0.5843014055345117,0.0201316355786672,29.024040458673635
64,69,21.71363411415175,3.815102534770907,0.8437684708509946,0.888610798013845,0.15330120238842385,0.0318597253139426,0.0136033749371403,2.342045665958834
64,99,28.05021987152889,3.911844924558226,0.8542538896237715,0.8861947877803562,0.15312678888939965,0.0087265651055225,0.012037624947545,0.7249407705879952
128,4,11.46224833864307,3.6350185220182016,0.8085072121210949,0.810227090056754,0.15440491820061575,0.0372704690349538,0.003730418930716,9.990960727780628
128,9,14.453727930741152,3.4676770621083453,0.8115661071264934,0.8013946493648256,0.16503906108523858,0.0330230576708549,0.0014941786336655,22.101144352360024
128,19,19.488649165488958,3.430650585037654,0.8087113293754351,0.7993453861498384,0.18068916577140084,0.0179207940581368,0.0006995720487363,25.61679542587183
128,39,23.07888318558933,3.4010557163843584,0.8067508811589308,0.8009375714747492,0.18691806113996728,0.013940415304245,0.0004120133946494,33.83485946155754
128,69,27.082852289495943,3.396725378188389,0.8063082088772364,0.7985034087223344,0.1963452550769002,0.0088708312466468,0.0004460174270721,19.888979013394938
128,99,27.49701146019563,3.3940119579829098,0.8058879856630573,0.7979027846789696,0.19588593012556024,0.0083986328408212,0.0004397157226528,19.10014222405419
