step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,nan_rate,recoveries,wallclock_s
25,0,ok,1.389283299446106,1.113029956817627,0.276253342628479,0.33754679560661316,0.0015929850051179528,0.0,0,17.620201110839844
50,0,ok,1.3607823848724365,1.0615789890289307,0.29920336604118347,0.28063327074050903,0.0029834036249667406,0.0,0,32.14536905288696
75,0,ok,1.2999293804168701,1.0085440874099731,0.2913852334022522,0.2992125451564789,0.004213832784444094,0.0,0,45.76103329658508
100,0,ok,1.3266932964324951,1.0151221752166748,0.3115711212158203,0.2682320773601532,0.005449776072055101,0.0,0,58.99560499191284
125,0,ok,1.3127691745758057,1.0480217933654785,0.26474738121032715,0.36584576964378357,0.007090859115123749,0.0,0,71.74201512336731
150,0,ok,1.2933939695358276,1.0006579160690308,0.2927360534667969,0.2871417701244354,0.008788722567260265,0.0,0,84.35931015014648
175,0,ok,1.3540116548538208,1.055105209350586,0.29890647530555725,0.28807005286216736,0.011166722513735294,0.0,0,97.49240803718567
200,0,ok,1.3290621042251587,1.0540615320205688,0.27500054240226746,0.3157161474227905,0.014078277163207531,0.0,0,110.20152020454407
225,0,ok,1.3505475521087646,1.0805256366729736,0.270021915435791,0.3287079334259033,0.01706252619624138,0.0,0,122.99924111366272
250,0,ok,1.2836050987243652,1.0030909776687622,0.28051406145095825,0.305825799703598,0.020008450374007225,0.0,0,136.20250415802002
275,0,ok,1.302049160003662,1.0420055389404297,0.26004359126091003,0.33511027693748474,0.023343607783317566,0.0,0,149.9382839202881
300,0,ok,1.2452117204666138,0.9980744123458862,0.24713730812072754,0.36432936787605286,0.026556437835097313,0.0,0,163.1509051322937
325,0,ok,1.3306025266647339,1.0328621864318848,0.2977403700351715,0.29799750447273254,0.029201826080679893,0.0,0,176.33902716636658
350,0,ok,1.1507669687271118,0.9289260506629944,0.22184093296527863,0.616614818572998,0.0313207246363163,0.0,0,190.0024230480194
375,0,ok,1.104692816734314,0.8434504270553589,0.2612423896789551,0.47550535202026367,0.032185111194849014,0.0,0,204.05776715278625
400,0,ok,0.9340184926986694,0.6887350678443909,0.24528340995311737,0.5154525637626648,0.03285697475075722,0.0,0,218.72977709770203
425,1,ok,0.8686140179634094,0.6411154270172119,0.2274985909461975,0.6267874240875244,0.03352131322026253,0.0,0,232.29642009735107
450,1,ok,0.9826780557632446,0.7551547288894653,0.22752335667610168,0.5379436016082764,0.03426443412899971,0.0,0,245.0457022190094
475,1,ok,0.8130720257759094,0.5738232135772705,0.23924881219863892,0.6475220322608948,0.03499079495668411,0.0,0,257.8770909309387
500,1,ok,1.150369644165039,0.9048430323600769,0.24552664160728455,0.4378226101398468,0.03560372814536095,0.0,0,270.6139340400696
525,1,ok,0.8694601655006409,0.6431649923324585,0.22629515826702118,0.566141664981842,0.03625785931944847,0.0,0,283.53707098960876
550,1,ok,0.7203383445739746,0.47158941626548767,0.24874895811080933,0.6696214079856873,0.037077587097883224,0.0,0,296.0621328353882
575,1,ok,0.8336085081100464,0.5928046703338623,0.2408038228750229,0.5708383917808533,0.037738144397735596,0.0,0,308.73443603515625
600,1,ok,0.9257209300994873,0.7010006308555603,0.2247202843427658,0.5720747709274292,0.03859568014740944,0.0,0,321.3600559234619
625,1,ok,0.8625625371932983,0.6304581165313721,0.23210443556308746,0.5612335205078125,0.039477426558732986,0.0,0,334.0167169570923
650,1,ok,0.8498144149780273,0.6151397228240967,0.23467469215393066,0.6007024645805359,0.040418464690446854,0.0,0,346.67069721221924
675,1,ok,0.7656844258308411,0.5574479103088379,0.20823651552200317,0.5630152225494385,0.04125078022480011,0.0,0,359.14603209495544
700,1,ok,1.0703002214431763,0.8071529865264893,0.263147234916687,0.5535224080085754,0.04210537299513817,0.0,0,372.0736789703369
725,1,ok,1.0035834312438965,0.7588260173797607,0.24475735425949097,0.5319876670837402,0.04301463067531586,0.0,0,385.091402053833
750,1,ok,0.7901487350463867,0.5573103427886963,0.23283839225769043,0.6424840092658997,0.043736398220062256,0.0,0,398.5492699146271
775,1,ok,0.7913601398468018,0.5463776588439941,0.24498248100280762,0.5777053236961365,0.04429009556770325,0.0,0,413.1213610172272
800,1,ok,0.8590005040168762,0.6128885746002197,0.2461119294166565,0.5590023994445801,0.044940460473299026,0.0,0,427.00184416770935
825,1,ok,0.8586148619651794,0.6290481090545654,0.2295667678117752,0.6236057281494141,0.04580022767186165,0.0,0,439.60281801223755
850,2,ok,0.7280852198600769,0.49929797649383545,0.22878724336624146,0.61700439453125,0.04654024913907051,0.0,0,452.6560981273651
875,2,ok,0.8009354472160339,0.582133948802948,0.21880149841308594,0.603519856929779,0.04735347628593445,0.0,0,465.37781405448914
900,2,ok,0.7612236142158508,0.5557448267936707,0.20547878742218018,0.6565263867378235,0.04814702272415161,0.0,0,477.88559913635254
925,2,ok,0.7581595182418823,0.532581627368927,0.22557789087295532,0.619484007358551,0.04883701726794243,0.0,0,490.5958261489868
950,2,ok,0.7925962209701538,0.5986461639404297,0.1939500868320465,0.6715629696846008,0.04964575171470642,0.0,0,503.11134004592896
975,2,ok,0.7743581533432007,0.5734967589378357,0.2008613646030426,0.653137743473053,0.050253976136446,0.0,0,516.0153739452362
1000,2,ok,0.6430956721305847,0.45399317145347595,0.18910250067710876,0.680225670337677,0.05072549358010292,0.0,0,528.6507670879364
1025,2,ok,0.7385302782058716,0.5518807172775269,0.18664959073066711,0.6962711215019226,0.05117620900273323,0.0,0,541.2732169628143
1050,2,ok,0.5719687938690186,0.3608754575252533,0.21109335124492645,0.7553591728210449,0.05156974866986275,0.0,0,553.8930270671844
1075,2,ok,0.5288655757904053,0.3042599856853485,0.22460557520389557,0.7661566734313965,0.0519133061170578,0.0,0,567.1518740653992
1100,2,ok,0.5059727430343628,0.31388235092163086,0.19209036231040955,0.7333725094795227,0.05233575403690338,0.0,0,580.4755220413208
1125,2,ok,0.6255181431770325,0.41903090476989746,0.206487238407135,0.7349817156791687,0.05254988372325897,0.0,0,593.3380689620972
1150,2,ok,0.6149342656135559,0.3970431089401245,0.2178911566734314,0.7190820574760437,0.052698299288749695,0.0,0,606.2660672664642
1175,2,ok,0.6429976224899292,0.41682153940200806,0.22617606818675995,0.7681888937950134,0.05298295244574547,0.0,0,620.3462262153625
1200,2,ok,0.4794014096260071,0.24468223750591278,0.2347191870212555,0.7887215614318848,0.05324360355734825,0.0,0,632.9768612384796
1225,2,ok,0.47286155819892883,0.2471652626991272,0.22569629549980164,0.7680808901786804,0.05331559106707573,0.0,0,645.6458501815796
1250,2,ok,0.6634858846664429,0.44845274090766907,0.2150331437587738,0.755708634853363,0.05343354865908623,0.0,0,658.2240800857544
